scenario_id,scenario_name,funding_architecture,weighted_access,weighted_provider_viability,weighted_equity,weighted_fiscal_control,weighted_hospital_pressure,weighted_gaming_risk,weighted_welfare,supply_generation_index,equity_legitimacy_index,governance_resilience_index,hospital_deflection_index,implementation_readiness_index,fiscal_gaming_risk_index,interaction_penalty,hybrid_viability_score,model_interpretation,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
P6,Ambulance alternatives only,unspecified architecture,46.93,45.16,66.88,77.15,62.86,18.65,51.71,27.72,47.85,65.12,46.21,58.41,12.77,11.81,35.82,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,359,0.2994,0.3697,0.4022,0.6086,0.5066,0.8074,1.0,0.5903,0.5175,0.475,0.6581,0.6381,0.4734,0.3128,0.7448,0.6874,0.1819,0.884,0.845,0.7154,0.0,0.5331,0.5031
P0,Current source-informed baseline,unspecified architecture,38.41,37.87,61.87,77.31,71.55,20.81,45.33,19.85,44.28,59.25,32.42,48.76,14.46,13.34,26.1,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,131,0.1046,0.4638,0.3369,0.6209,0.4446,0.5509,0.8126,0.4279,0.5132,0.472,0.5386,0.7321,0.2881,0.3016,0.3483,0.5822,0.1689,0.8798,0.7562,0.5822,0.0,0.3508,0.4157
P8,Direct claims and PHO intermediation reform only,unspecified architecture,47.17,47.06,67.58,77.04,65.03,19.12,51.87,35.57,49.96,63.42,36.49,53.28,15.26,10.11,36.69,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,125,0.263,0.3588,0.3287,0.3446,0.3615,0.4924,0.9266,0.6529,0.5834,0.5619,0.724,0.5842,0.456,0.2624,0.3478,0.6621,0.0932,0.8158,0.8233,0.6802,0.8392,0.4088,0.2994
P4,Benefits without adequate controls,unspecified architecture,66.76,68.0,52.03,62.09,51.6,35.53,53.94,65.18,33.98,43.8,52.59,39.66,45.32,16.61,32.16,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,292,0.9318,0.5119,0.8687,0.1834,0.6481,0.5782,0.606,0.4989,0.762,0.3037,0.2883,0.9601,0.3723,0.2929,0.7049,0.7617,0.0482,0.7557,0.4313,0.1697,1.0,0.3269,0.4048
P3,Full upstream access architecture,unspecified architecture,75.01,69.93,84.79,72.94,38.12,14.26,71.47,67.44,69.36,74.25,65.15,78.44,8.98,3.56,66.65,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,290,0.7807,0.8205,0.9111,0.3772,0.8311,0.8248,0.5948,0.8628,0.2362,0.9093,0.8857,0.7381,0.8597,0.7995,0.7839,0.6757,0.0869,0.5032,0.9655,0.9513,0.8015,0.7706,0.8208
P7,Scope-enabled provider supply only,unspecified architecture,50.14,49.64,66.94,73.33,62.15,22.51,52.15,39.44,48.24,61.58,38.47,58.21,17.32,11.47,36.66,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,520,0.3176,0.3621,0.8959,0.4358,0.5258,0.4347,0.8895,0.4152,0.6354,0.7077,0.5983,0.637,0.4422,0.214,0.3912,0.8394,0.2449,0.8555,0.9791,0.5257,0.4891,0.461,0.6673
P4,Benefits without adequate controls,unspecified architecture,67.73,67.71,53.31,62.34,51.5,33.74,54.82,65.28,35.55,44.85,52.57,38.57,42.12,14.64,34.53,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,587,0.9473,0.5706,0.8577,0.1517,0.7048,0.8497,0.6695,0.4313,0.6476,0.2794,0.321,0.8278,0.3956,0.2435,0.5535,0.6471,0.134,0.7774,0.4122,0.3088,1.0,0.2619,0.4382
P7,Scope-enabled provider supply only,unspecified architecture,51.92,51.19,66.6,72.82,60.05,21.49,53.24,39.51,47.79,61.93,39.79,60.97,17.15,10.97,37.81,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,258,0.4385,0.3056,0.7477,0.5014,0.4215,0.4387,0.9299,0.6156,0.5332,0.683,0.536,0.595,0.488,0.3151,0.3933,0.6704,0.0508,0.8779,0.8806,0.4718,0.3205,0.6388,0.5458
P5,ACC activity constraint shock,unspecified architecture,38.85,39.13,62.58,78.43,71.25,19.05,46.4,22.39,43.89,61.04,31.71,47.46,13.49,13.15,26.92,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,943,0.1646,0.3354,0.3957,0.5786,0.4762,0.417,0.9406,0.514,0.5595,0.4055,0.6088,0.6224,0.5434,0.3033,0.3055,0.4824,0.4752,0.8541,0.7564,0.6678,0.0,0.2764,0.3461
P5,ACC activity constraint shock,unspecified architecture,35.87,35.55,59.28,79.19,74.58,20.01,43.69,17.27,40.57,59.43,29.94,44.29,14.44,15.27,21.77,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,64,0.0596,0.2715,0.3115,0.699,0.5152,0.5142,1.0,0.4447,0.5657,0.4633,0.4814,0.6932,0.3364,0.1947,0.2619,0.5445,0.6327,0.8752,0.7092,0.6595,0.0919,0.3255,0.2177
P2,National Primary Care Benefits Schedule,unspecified architecture,68.09,66.4,74.3,69.35,47.94,19.12,63.69,64.07,57.65,63.29,50.35,65.41,18.28,6.0,53.9,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,652,0.8076,0.6605,0.6872,0.1796,0.6915,0.3684,0.8543,0.6508,0.3877,0.6999,0.7304,0.6429,0.7069,0.6762,0.4767,0.7067,0.251,0.519,0.6499,0.7506,0.8388,0.6619,0.7878
P4,Benefits without adequate controls,unspecified architecture,66.37,67.09,54.04,63.45,52.7,33.93,54.48,64.81,36.09,44.53,49.97,39.18,44.37,17.26,31.33,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,194,0.8977,0.5878,1.0,0.1542,0.7179,0.6886,0.768,0.4804,0.7019,0.1993,0.3984,1.0,0.4804,0.3581,0.4786,0.727,0.0,0.8769,0.3391,0.2871,0.9484,0.2588,0.4969
P7,Scope-enabled provider supply only,unspecified architecture,53.51,53.33,65.72,74.9,58.77,20.17,54.67,43.5,46.74,65.06,40.8,61.2,16.92,10.85,39.68,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,828,0.4443,0.3284,0.9081,0.4624,0.5292,0.4199,0.8517,0.6763,0.6757,0.5807,0.5934,0.5597,0.3919,0.1515,0.3407,0.5774,0.2038,0.827,0.9277,0.598,0.5405,0.5142,0.6173
P4,Benefits without adequate controls,unspecified architecture,67.0,66.49,58.05,63.19,51.32,33.43,55.67,62.88,41.27,45.02,52.47,42.17,40.78,14.33,35.75,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,282,0.8869,0.6547,0.8691,0.1529,0.7051,0.6903,0.7559,0.5314,0.6072,0.3766,0.4198,0.7901,0.299,0.2196,0.5937,0.7935,0.0,0.7928,0.3515,0.2506,0.9094,0.4058,0.3812
P0,Current source-informed baseline,unspecified architecture,34.89,36.6,61.75,79.14,74.95,19.43,44.2,16.72,44.58,59.81,27.05,46.17,13.12,14.66,22.66,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,659,0.0418,0.5183,0.266,0.6794,0.2678,0.5442,0.9321,0.4026,0.6805,0.5056,0.5767,0.5971,0.554,0.2006,0.2225,0.6392,0.2619,0.8334,0.735,0.6612,0.0602,0.3542,0.2562
P7,Scope-enabled provider supply only,unspecified architecture,50.55,49.87,65.48,74.88,61.6,20.25,52.74,39.01,46.65,63.62,38.57,57.74,16.72,10.21,37.93,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,639,0.3765,0.3486,0.8127,0.3815,0.676,0.327,0.8046,0.5485,0.5038,0.4281,0.665,0.6248,0.3748,0.0788,0.3055,0.6664,0.045,0.7891,0.8761,0.6602,0.3752,0.49,0.5637
P4,Benefits without adequate controls,unspecified architecture,65.41,64.63,58.09,62.98,52.15,34.64,54.53,58.65,40.39,44.44,54.28,40.77,41.17,15.95,33.0,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,905,0.8423,0.5701,0.8671,0.2759,0.8369,0.653,0.6838,0.4336,0.6582,0.3334,0.4822,1.0,0.3834,0.1175,0.7342,0.6321,0.0362,0.7366,0.4922,0.177,0.7068,0.2626,0.4712
P5,ACC activity constraint shock,unspecified architecture,37.77,39.24,61.0,76.48,72.83,21.34,44.79,23.07,43.11,58.75,28.79,48.5,16.1,14.94,24.15,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,808,0.1437,0.4278,0.4137,0.5706,0.2763,0.4449,0.9065,0.4007,0.6641,0.484,0.557,0.67,0.405,0.2576,0.2932,0.5488,0.496,0.8307,0.8291,0.5159,0.144,0.3399,0.4063
P5,ACC activity constraint shock,unspecified architecture,37.76,37.12,62.55,77.68,72.57,20.57,45.14,19.42,44.66,59.7,31.35,44.7,14.76,12.9,25.84,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,707,0.1426,0.3749,0.2098,0.5822,0.4639,0.5326,0.7758,0.4447,0.5747,0.442,0.6332,0.6916,0.3365,0.2961,0.3024,0.427,0.6309,0.9441,0.8415,0.6156,0.0931,0.2022,0.2628
P7,Scope-enabled provider supply only,unspecified architecture,51.66,50.99,65.48,74.34,60.67,20.92,53.17,39.82,47.08,63.7,38.5,61.7,17.42,11.71,37.23,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,72,0.393,0.4371,0.8,0.3928,0.4539,0.4448,0.8216,0.5688,0.6479,0.6177,0.5544,0.7539,0.4519,0.2434,0.3206,0.7066,0.1064,0.9779,0.8976,0.5784,0.4682,0.6411,0.5916
P2,National Primary Care Benefits Schedule,unspecified architecture,64.58,61.69,73.26,70.78,50.67,19.77,61.39,58.66,56.8,63.82,49.62,62.49,18.33,6.19,51.78,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,583,0.6444,0.6779,0.7191,0.2103,0.7507,0.4086,0.8306,0.6039,0.3318,0.6695,0.705,0.7044,0.5309,0.6414,0.5038,0.6242,0.2131,0.6328,0.8015,0.7325,0.884,0.5936,0.6163
P7,Scope-enabled provider supply only,unspecified architecture,49.9,48.97,66.99,75.1,61.55,21.19,52.61,39.31,48.38,63.02,39.43,59.14,16.85,9.87,38.89,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,206,0.2869,0.3065,0.8132,0.468,0.5767,0.4105,0.7587,0.5894,0.5173,0.6436,0.5941,0.6833,0.4068,0.1728,0.3701,0.7098,0.0477,0.6857,0.913,0.5431,0.5582,0.5595,0.4996
P0,Current source-informed baseline,unspecified architecture,38.59,39.2,62.02,78.12,71.45,19.06,46.14,20.33,44.68,63.03,30.52,52.46,12.68,14.03,26.5,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,10,0.1422,0.4819,0.3174,0.5731,0.3408,0.4338,0.9958,0.5005,0.5251,0.4405,0.561,0.5664,0.3632,0.2259,0.303,0.6925,0.0459,0.9039,0.8521,0.6713,0.0,0.3605,0.4687
P4,Benefits without adequate controls,unspecified architecture,67.67,67.89,56.09,62.08,51.51,36.99,54.81,65.03,39.28,41.97,52.48,37.19,45.52,15.94,33.0,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,827,0.9068,0.6158,0.8688,0.1854,0.8027,0.7001,0.6498,0.5347,0.7004,0.3643,0.4009,0.975,0.3586,0.1432,0.5322,0.8175,0.0,0.6212,0.3863,0.1265,0.9917,0.2393,0.3234
P7,Scope-enabled provider supply only,unspecified architecture,49.18,48.89,66.75,74.47,62.6,21.04,52.11,38.25,47.92,60.94,37.93,55.34,18.27,11.38,35.75,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,398,0.3636,0.2973,0.8218,0.4524,0.4299,0.3754,0.8422,0.5615,0.5806,0.5481,0.6772,0.6361,0.3944,0.2436,0.4086,0.6589,0.1908,0.9407,0.7859,0.5736,0.4549,0.4995,0.4703
P6,Ambulance alternatives only,unspecified architecture,43.48,42.66,65.58,79.94,65.12,17.63,50.38,24.31,46.38,67.95,44.21,60.92,12.46,13.05,33.97,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,824,0.1801,0.308,0.3463,0.6346,0.4214,0.7678,1.0,0.6872,0.5831,0.4652,0.6335,0.6077,0.3764,0.2076,0.7415,0.6514,0.1169,0.7653,0.9068,0.7266,0.0651,0.5905,0.4603
P3,Full upstream access architecture,unspecified architecture,76.26,71.09,82.25,70.88,38.15,16.98,70.6,70.53,66.65,69.55,65.51,74.71,14.06,3.55,65.5,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,124,0.8111,0.8603,0.8963,0.1308,0.8766,0.8104,0.6495,0.832,0.2749,0.8167,0.8437,0.7056,0.7573,0.8234,0.7841,0.7365,0.0,0.6098,0.833,0.8216,0.9427,0.7252,0.8561
P2,National Primary Care Benefits Schedule,unspecified architecture,67.07,64.74,75.77,68.53,48.24,21.67,62.78,60.18,59.7,61.01,54.33,62.88,20.08,7.37,51.97,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,567,0.7183,0.8251,0.7436,0.2876,0.7636,0.5762,1.0,0.604,0.354,0.5986,0.8193,0.5364,0.6021,0.6138,0.643,0.7041,0.0248,0.5579,0.7625,0.6009,0.7371,0.6589,0.5893
P5,ACC activity constraint shock,unspecified architecture,36.63,37.63,59.47,77.04,74.27,20.91,43.82,20.87,41.39,59.15,26.74,43.9,15.49,15.17,22.1,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,335,0.1283,0.381,0.4342,0.7121,0.3703,0.3488,0.924,0.3365,0.5683,0.4269,0.5289,0.6886,0.3889,0.1737,0.2214,0.4299,0.4894,0.8543,0.8546,0.6391,0.1637,0.3476,0.1312
P7,Scope-enabled provider supply only,unspecified architecture,51.07,50.04,65.61,73.49,61.64,21.79,52.42,39.98,46.77,61.76,37.79,56.72,17.39,10.19,37.5,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,332,0.3856,0.3082,0.7896,0.3829,0.5539,0.4937,0.8446,0.5342,0.5302,0.5741,0.5931,0.6206,0.4075,0.26,0.2393,0.6909,0.165,0.9011,0.9144,0.5448,0.4621,0.4196,0.6035
P5,ACC activity constraint shock,unspecified architecture,34.86,35.47,64.12,77.74,75.0,21.15,43.94,18.14,45.83,57.21,28.61,44.54,13.99,14.53,22.93,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,969,0.0249,0.3167,0.387,0.6247,0.4182,0.3924,0.9361,0.3408,0.6599,0.5737,0.6607,0.5845,0.3985,0.2677,0.3396,0.4506,0.6016,0.8476,0.7669,0.5337,0.0698,0.2847,0.2863
P1,Capitation reweighting plus access target,unspecified architecture,40.82,41.62,67.91,79.24,69.02,19.19,49.01,24.89,52.8,61.94,34.26,52.78,14.94,11.77,31.99,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,724,0.1154,0.8134,0.3937,0.6107,0.5441,0.4039,0.9144,0.6694,0.6437,0.4383,0.7779,0.594,0.3616,0.3006,0.315,0.6679,0.0952,0.6971,0.7613,0.5697,0.1739,0.3109,0.4139
P0,Current source-informed baseline,unspecified architecture,38.81,40.38,63.29,78.14,71.07,19.24,46.71,22.43,46.18,62.05,30.25,48.08,12.81,13.39,27.08,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,407,0.1289,0.468,0.4119,0.6262,0.2976,0.3761,0.859,0.445,0.6988,0.6256,0.5745,0.5145,0.4646,0.2094,0.3415,0.7209,0.0568,0.8569,0.8848,0.6882,0.1489,0.2279,0.3647
P1,Capitation reweighting plus access target,unspecified architecture,40.81,39.19,66.15,79.88,68.65,18.99,48.38,20.49,50.8,63.52,37.13,55.69,12.03,11.09,32.56,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,720,0.0353,0.825,0.3347,0.5153,0.7565,0.5074,0.8614,0.6216,0.5022,0.4684,0.6221,0.6287,0.4608,0.1915,0.3523,0.7622,0.0376,0.8131,0.8031,0.6112,0.0539,0.3925,0.5033
P7,Scope-enabled provider supply only,unspecified architecture,51.68,50.76,65.52,73.07,60.69,22.29,52.67,41.54,46.78,60.78,40.53,57.89,18.4,11.36,37.26,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,274,0.3882,0.3317,0.8997,0.3759,0.5294,0.5095,0.9496,0.5431,0.4962,0.5771,0.5669,0.6618,0.4146,0.2484,0.3945,0.6942,0.1468,0.7948,0.8537,0.4962,0.3728,0.4034,0.7538
P7,Scope-enabled provider supply only,unspecified architecture,54.99,53.36,67.35,73.13,57.62,21.49,55.05,42.94,48.19,61.93,42.67,59.36,18.2,9.58,40.56,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,779,0.4882,0.2235,0.8074,0.3535,0.543,0.6236,0.8051,0.6773,0.5642,0.6439,0.6112,0.6461,0.4335,0.1768,0.3165,0.6594,0.0903,0.8761,0.839,0.5006,0.3848,0.467,0.6494
P7,Scope-enabled provider supply only,unspecified architecture,52.03,51.67,63.28,75.63,60.01,19.23,53.54,40.69,44.29,66.47,39.7,59.6,14.02,10.83,38.42,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,478,0.3915,0.3433,0.8248,0.3557,0.4812,0.5613,0.863,0.6351,0.5639,0.5128,0.5056,0.7035,0.6099,0.104,0.2898,0.727,0.019,0.8113,1.0,0.6753,0.4266,0.4548,0.5783
P7,Scope-enabled provider supply only,unspecified architecture,51.47,50.85,68.82,74.55,60.45,20.62,53.95,40.22,49.63,63.03,40.46,58.63,16.64,10.35,39.03,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,714,0.3761,0.2137,0.7284,0.433,0.4993,0.4099,0.8703,0.6119,0.6165,0.6608,0.6969,0.5892,0.4204,0.2828,0.427,0.6831,0.0,0.8475,0.8775,0.5772,0.5307,0.433,0.6266
P6,Ambulance alternatives only,unspecified architecture,43.73,43.14,64.3,79.01,65.6,18.71,49.83,26.31,44.5,66.04,43.63,59.45,14.58,14.29,32.15,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,438,0.1805,0.3423,0.5607,0.5427,0.522,0.7525,1.0,0.5101,0.6964,0.4727,0.6076,0.6199,0.2762,0.3371,0.7237,0.6631,0.0654,0.9159,0.8432,0.7682,0.0,0.6396,0.5145
P6,Ambulance alternatives only,unspecified architecture,42.57,41.58,63.65,80.75,65.16,18.31,49.53,23.76,43.93,66.53,45.36,60.59,13.61,12.83,33.52,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,464,0.0693,0.3683,0.5608,0.6099,0.537,0.8628,0.9101,0.7144,0.602,0.3351,0.5901,0.6685,0.5054,0.2143,0.7166,0.641,0.0675,0.7665,0.879,0.5984,0.0077,0.4752,0.649
P8,Direct claims and PHO intermediation reform only,unspecified architecture,46.18,45.79,65.02,79.79,65.38,16.81,51.66,35.48,47.24,66.69,36.86,56.04,13.47,10.08,37.36,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,326,0.1893,0.3346,0.3787,0.2551,0.4012,0.3851,0.9324,0.7052,0.5274,0.5732,0.5793,0.6574,0.478,0.3064,0.4053,0.7114,0.084,0.7761,0.7403,0.8464,0.8419,0.4307,0.4567
P8,Direct claims and PHO intermediation reform only,unspecified architecture,46.4,46.04,63.08,78.51,66.15,18.94,50.62,35.61,45.26,64.23,35.47,52.19,17.68,11.05,34.72,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,152,0.2214,0.3699,0.3715,0.1322,0.5094,0.3903,0.8209,0.6693,0.6007,0.3749,0.666,0.7581,0.3652,0.1779,0.2793,0.6536,0.1238,0.8988,0.7911,0.7378,0.8934,0.2983,0.434
P1,Capitation reweighting plus access target,unspecified architecture,42.14,40.77,69.02,80.0,67.42,17.82,50.08,23.45,54.45,66.04,36.48,59.47,11.63,11.05,34.9,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,430,0.1087,0.8952,0.4066,0.6921,0.6563,0.4198,0.8856,0.6516,0.4623,0.5709,0.6531,0.568,0.416,0.3353,0.3465,0.7108,0.2271,0.7677,0.8174,0.7201,0.0891,0.4841,0.5132
P5,ACC activity constraint shock,unspecified architecture,35.78,36.4,63.1,78.59,74.47,20.79,44.43,17.99,45.31,56.98,28.66,44.52,16.45,15.84,21.45,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,734,0.0818,0.3879,0.3122,0.5941,0.4539,0.4341,1.0,0.5398,0.7122,0.4259,0.6954,0.7011,0.3893,0.1807,0.2133,0.4337,0.5515,0.9247,0.6671,0.4688,0.0804,0.3129,0.1921
P3,Full upstream access architecture,unspecified architecture,76.21,70.68,83.87,73.74,38.21,13.19,72.06,69.2,68.36,72.82,66.52,74.89,9.31,2.8,67.2,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,34,0.7811,0.8756,0.8036,0.0946,1.0,0.8039,0.6441,0.8771,0.4136,0.9057,0.8817,0.7067,0.9244,0.7406,0.776,0.7144,0.1608,0.5972,0.799,0.9984,0.9898,0.7033,0.8125
P8,Direct claims and PHO intermediation reform only,unspecified architecture,45.3,44.25,68.26,78.14,66.31,19.03,51.02,33.34,50.93,64.16,37.91,55.18,15.1,9.07,38.06,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,151,0.1236,0.4489,0.2543,0.1572,0.5049,0.4377,0.8328,0.5377,0.5104,0.5191,0.7578,0.6024,0.5089,0.2521,0.4842,0.7227,0.1851,0.7813,0.8287,0.7402,0.9038,0.4177,0.4624
P3,Full upstream access architecture,unspecified architecture,78.61,74.05,82.24,71.15,35.38,14.61,72.66,74.53,65.5,73.8,68.18,78.97,10.15,2.65,69.27,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,121,0.9013,0.8069,0.8845,0.1631,0.8697,0.7172,0.6179,0.8591,0.3181,0.7817,0.8344,0.6616,0.7304,0.959,0.9044,0.6664,0.0,0.5108,0.9544,0.9382,0.9348,0.815,0.8657
P7,Scope-enabled provider supply only,unspecified architecture,52.18,51.07,66.89,73.03,60.56,21.79,53.26,41.36,47.59,62.05,39.19,58.15,17.27,10.43,38.31,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,401,0.4038,0.2702,0.7883,0.3603,0.5917,0.4211,0.8634,0.4949,0.5365,0.6388,0.5995,0.6983,0.4572,0.2919,0.3199,0.66,0.0526,0.825,0.9296,0.5645,0.4151,0.594,0.4661
P8,Direct claims and PHO intermediation reform only,unspecified architecture,44.55,43.99,62.95,80.77,66.66,17.3,50.33,31.16,44.19,66.49,37.91,55.74,14.36,10.94,35.01,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,455,0.1399,0.2559,0.2309,0.2009,0.5351,0.5493,0.9134,0.7434,0.6057,0.4278,0.6024,0.6229,0.3988,0.1855,0.3657,0.7301,0.0901,0.7953,0.7437,0.7857,0.7564,0.4358,0.4461
P6,Ambulance alternatives only,unspecified architecture,41.85,40.88,61.92,84.27,66.05,15.19,49.89,23.72,42.16,71.47,44.09,58.43,12.85,13.5,33.04,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,923,0.0805,0.2794,0.4254,0.5732,0.4752,0.8494,0.8624,0.7212,0.6402,0.4281,0.5045,0.7975,0.3043,0.3916,0.699,0.6251,0.0404,0.7663,0.8166,1.0,0.0222,0.3969,0.5874
P1,Capitation reweighting plus access target,unspecified architecture,40.01,39.71,69.58,80.95,70.04,18.13,49.16,19.26,54.08,63.19,33.51,55.58,12.81,12.55,30.5,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,499,0.0839,0.734,0.1647,0.5084,0.6935,0.4203,1.0,0.6882,0.7047,0.5172,0.8206,0.6694,0.5269,0.1429,0.206,0.7502,0.0662,0.8183,0.6616,0.6514,0.0503,0.4677,0.4078
P6,Ambulance alternatives only,unspecified architecture,41.36,41.53,65.24,82.14,66.37,16.66,49.9,24.09,45.87,68.29,43.76,58.49,12.73,12.72,33.81,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,298,0.0791,0.3381,0.4551,0.5914,0.4178,0.8016,0.9197,0.6599,0.6656,0.4141,0.6695,0.5798,0.4356,0.3187,0.7644,0.6674,0.0903,0.698,0.828,0.824,0.0357,0.3989,0.6257
P8,Direct claims and PHO intermediation reform only,unspecified architecture,47.13,47.3,61.16,76.6,64.89,19.55,50.35,36.1,42.99,63.25,36.67,53.73,16.94,11.06,34.67,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,970,0.286,0.4079,0.3444,0.1619,0.2922,0.5602,0.8347,0.6377,0.5852,0.4173,0.5171,0.6752,0.4399,0.3499,0.3671,0.6464,0.0233,0.916,0.8162,0.6566,0.7032,0.4952,0.3252
P5,ACC activity constraint shock,unspecified architecture,38.87,39.32,60.91,76.83,72.07,20.6,45.4,22.43,42.26,58.03,31.18,44.52,15.25,13.64,24.99,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,443,0.2057,0.2921,0.2805,0.589,0.465,0.4442,0.8555,0.393,0.6686,0.5366,0.538,0.5709,0.3512,0.2571,0.3225,0.4107,0.5455,0.8587,0.6774,0.6516,0.0986,0.3542,0.2513
P3,Full upstream access architecture,unspecified architecture,75.56,70.58,81.46,72.46,38.45,14.69,70.8,68.52,65.82,72.95,65.74,77.3,10.1,2.9,66.64,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,546,0.796,0.8825,0.7651,0.0973,0.8521,0.8707,0.6732,0.8524,0.2993,0.7956,0.818,0.6199,0.8799,0.6742,0.7942,0.7325,0.1129,0.5252,0.9021,0.9234,0.9214,0.7937,0.8319
P3,Full upstream access architecture,unspecified architecture,74.45,69.5,84.31,73.48,38.52,15.41,70.96,67.55,68.07,73.75,64.72,80.09,10.45,3.45,66.56,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,409,0.7156,0.7369,0.8839,0.2669,0.8302,0.8117,0.569,0.9158,0.3532,0.9589,0.851,0.7245,0.8185,0.8269,0.7608,0.7961,0.0853,0.5028,0.9623,0.8476,0.9057,0.7998,0.8841
P0,Current source-informed baseline,unspecified architecture,39.16,40.48,60.62,77.11,71.39,20.06,45.86,22.81,42.45,59.75,31.25,47.05,14.11,13.8,25.69,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,784,0.1549,0.465,0.472,0.6114,0.5223,0.3855,0.9678,0.3982,0.6214,0.4364,0.5258,0.534,0.5208,0.2011,0.3026,0.7518,0.1825,0.8137,0.7811,0.6437,0.0,0.4065,0.2466
